flame,point,x_over_d,kind,r_over_d,F,F_rms,T,T_rms,Y_O2,Y_N2,Y_H2O,Y_CH4,Y_CO,Y_CO2,Y_OH,Y_H2,Y_NO,Y_CO_LIF
C,03,3.0,Yfav,-0.46,0.9073,0.0613,457.0,130.0,0.188,0.653,0.0102,0.137,0.00224,0.00829,1.43e-06,0.000259,1.56e-06,0.00322
C,03,3.0,Yfav,-0.32,0.9711,0.0322,322.0,39.0,0.197,0.648,0.0023,0.151,0.000246,0.000905,7.33e-08,4.39e-05,3.2e-07,0.000521
C,03,3.0,Yfav,-0.18,0.9913,0.0226,291.0,4.0,0.198,0.647,0.000581,0.155,0.000351,0.0,4.15e-07,4.05e-06,1.69e-07,6.15e-05
C,03,3.0,Yfav,-0.04,0.9906,0.0246,290.0,3.0,0.198,0.647,0.00053,0.155,0.000377,0.0,4.38e-07,2.45e-06,9.18e-08,4.51e-05
C,03,3.0,Yfav,0.1,0.9911,0.0216,290.0,3.0,0.198,0.647,0.000519,0.155,0.000332,0.0,4.3e-07,3.83e-06,9.71e-08,4.39e-05
C,03,3.0,Yfav,0.24,0.9879,0.0237,300.0,17.0,0.196,0.648,0.000972,0.154,0.000427,0.000191,4.22e-07,1.53e-05,1.63e-07,0.000176
C,03,3.0,Yfav,0.38,0.9647,0.0457,382.0,104.0,0.186,0.653,0.00605,0.148,0.00227,0.00558,1.9e-06,0.000154,7.9e-07,0.00182
C,03,3.0,Yfav,0.51,0.8636,0.0891,672.0,250.0,0.15,0.669,0.0262,0.121,0.0111,0.0244,1.67e-05,0.000676,4.61e-06,0.00887
C,03,3.0,Yfav,0.65,0.6099,0.122,1389.0,358.0,0.061,0.702,0.0769,0.0535,0.0306,0.0744,0.000244,0.00145,2.01e-05,0.0308
C,03,3.0,Yfav,0.79,0.3527,0.032,1958.0,58.0,0.022,0.724,0.108,0.00246,0.0179,0.118,0.00271,0.000643,3.46e-05,0.0227
C,03,3.0,Yfav,0.93,0.2607,0.019,1812.0,70.0,0.0615,0.733,0.0913,0.000188,0.00198,0.108,0.00202,8.73e-05,1.78e-05,0.00395
C,03,3.0,Yfav,1.07,0.2006,0.0264,1520.0,126.0,0.1,0.739,0.0713,0.000198,0.000311,0.0884,0.00066,2.22e-05,9.94e-06,0.000557
C,03,3.0,Yfav,1.21,0.1431,0.0314,1224.0,161.0,0.14,0.743,0.0531,4.74e-05,0.0,0.0639,0.000147,0.0,6.1e-06,0.000155
C,03,3.0,Yfav,1.35,0.0898,0.032,910.0,188.0,0.176,0.748,0.0359,5.42e-05,0.000147,0.0395,2.76e-05,1.38e-05,3.25e-06,9.65e-05
C,03,3.0,Yfav,1.49,0.0453,0.023,635.0,153.0,0.205,0.753,0.0227,0.0,0.0,0.0184,6.76e-06,1.77e-05,1.56e-06,8.14e-05
C,03,3.0,Yfav,1.62,0.0135,0.0085,410.0,67.0,0.228,0.756,0.0124,0.0,0.0,0.00387,2.31e-07,1.26e-05,4.96e-07,2.05e-05
C,03,3.0,Yfav,1.76,0.0023,0.0016,315.0,16.0,0.235,0.758,0.00782,0.0,0.0,2.15e-05,4.08e-08,7.6e-06,1.09e-07,7.08e-06
C,03,3.0,Yfav,1.9,0.0012,0.001,302.0,9.0,0.235,0.758,0.00722,1.92e-06,0.0,0.0,0.0,5.52e-06,1.03e-07,3.14e-06
C,075,0.75,Yave,-0.32,0.9235,0.0537,435.0,125.0,0.185,0.654,0.00971,0.139,0.00315,0.00814,2.49e-06,0.000264,1.62e-06,0.00342
C,075,0.75,Yave,-0.18,0.961,0.0339,350.0,52.0,0.194,0.65,0.00377,0.148,0.000831,0.00246,1.2e-07,9.58e-05,6.22e-07,0.00121
C,075,0.75,Yave,-0.04,0.9773,0.0265,323.0,26.0,0.196,0.649,0.00185,0.152,0.000469,0.000781,2.4e-07,4.14e-05,2.79e-07,0.000546
C,075,0.75,Yave,0.1,0.9739,0.0294,335.0,39.0,0.195,0.65,0.00232,0.151,0.000702,0.00131,2.91e-07,5.92e-05,3.61e-07,0.000763
C,075,0.75,Yave,0.24,0.9536,0.0453,405.0,108.0,0.187,0.653,0.00632,0.146,0.00248,0.00538,2.05e-06,0.00018,9.44e-07,0.00218
C,075,0.75,Yave,0.38,0.9093,0.0627,554.0,183.0,0.171,0.659,0.0159,0.133,0.00711,0.0142,7.91e-06,0.000471,2.81e-06,0.00597
C,075,0.75,Yave,0.51,0.8362,0.0959,802.0,292.0,0.141,0.669,0.0332,0.112,0.0159,0.0298,1.33e-05,0.000927,7.14e-06,0.0137
C,075,0.75,Yave,0.65,0.7165,0.1269,1181.0,349.0,0.0923,0.686,0.0614,0.0781,0.0276,0.0542,5.1e-05,0.00153,1.6e-05,0.0268
C,075,0.75,Yave,0.79,0.5636,0.139,1576.0,328.0,0.047,0.702,0.0903,0.0396,0.0344,0.0826,0.000542,0.00173,3.02e-05,0.0367
